date,county,quantile,hosp_census_with_covid,hosp_census_for_covid,cases,Rt
2022-03-04,Total,0.5,4.79467718800249,2.8768063128015,69.7164453360766,0.79217788942332
2022-03-04,Total,0.95,10.7318927882982,6.4391356729789,118.00509570433,0.901661429862694
2022-03-05,Total,0.05,0,0,35.8779129133104,0.640427189967919
2022-03-05,Total,0.5,4.78721923874962,2.87233154324977,66.659508136289,0.7956748397726
2022-03-05,Total,0.95,10.5356880268884,6.32141281613304,112.681575685937,0.949354715680809
2022-03-06,Total,0.05,0,0,33.8986495006209,0.60525637378053
2022-03-06,Total,0.5,4.44944398520475,2.66966639112285,63.6922724426315,0.797945882601866
2022-03-06,Total,0.95,10.4433569887053,6.26601419322317,110.186385821008,0.988509684103862
2022-03-07,Total,0.05,0,0,31.8177178412709,0.596699682120873
2022-03-07,Total,0.5,4.42623312270611,2.65573987362367,60.9210955890161,0.800600581837075
2022-03-07,Total,0.95,10.0669984379511,6.04019906277067,109.60483893241,1.00394311704294
2022-03-08,Total,0.05,0,0,29.3030722148255,0.595091057560537
2022-03-08,Total,0.5,4.06787317885638,2.44072390731383,58.5248222117552,0.804578405287473
2022-03-08,Total,0.95,9.93472672502316,5.9608360350139,107.15853788858,1.01060487442012
2022-03-09,Total,0.05,0,0,27.9645159800355,0.59690757378923
2022-03-09,Total,0.5,3.9439356993809,2.36636141962854,55.9061618768649,0.806581839945155
2022-03-09,Total,0.95,9.85090716336989,5.91054429802193,104.363039683953,1.01271812324707
2022-03-10,Total,0.05,0,0,26.2533864915319,0.600648223673214
2022-03-10,Total,0.5,3.71252387196857,2.22751432318114,53.9189474590632,0.80970230970996
2022-03-10,Total,0.95,9.88335862439505,5.93001517463703,103.089145633055,1.01522885875527
2022-03-11,Total,0.05,0,0,24.535518613181,0.604441741851297
2022-03-11,Total,0.5,3.65859609253844,2.19515765552306,51.9533672385323,0.813782821363359
2022-03-11,Total,0.95,9.07348454759982,5.44409072855989,102.492728612891,1.01736919947347
2022-03-12,Total,0.05,0,0,23.1209952898828,0.608337591103354
2022-03-12,Total,0.5,3.44181129776844,2.06508677866106,50.0703061859256,0.816703172426252
2022-03-12,Total,0.95,9.60902885653831,5.76541731392299,102.05550538862,1.01927530313074
2022-03-13,Total,0.05,0,0,21.5747741611637,0.612065579320606
2022-03-13,Total,0.5,3.3686597489447,2.02119584936682,48.0805439949311,0.820622188053304
2022-03-13,Total,0.95,9.32826165497655,5.59695699298593,101.254649955913,1.02134825299276
2022-03-14,Total,0.05,0,0,20.5425181619058,0.615982528603765
2022-03-14,Total,0.5,3.31019819670457,1.98611891802274,46.664715478934,0.824510283999224
2022-03-14,Total,0.95,9.44294893937922,5.66576936362753,100.383690857006,1.02366684754914
2022-03-15,Total,0.05,0,0,19.3052230884614,0.620069150171137
2022-03-15,Total,0.5,3.28846529069688,1.97307917441812,45.0968759930713,0.828886326613811
2022-03-15,Total,0.95,9.23963513841787,5.54378108305072,99.6676982256594,1.02599839963225
2022-03-16,Total,0.05,0,0,18.3062008014095,0.624511726579878
2022-03-16,Total,0.5,2.66047893244195,1.59628735946517,43.5295964379944,0.833265964133663
2022-03-16,Total,0.95,8.47755191523635,5.08653114914181,98.8289789224896,1.02842889391719
2022-03-17,Total,0.05,0,0,17.180196408742,0.629605689159014
2022-03-17,Total,0.5,3.23487331686798,1.94092399012079,42.0862292734937,0.837483068193727
2022-03-17,Total,0.95,9.09820478241538,5.45892286944923,97.666076035531,1.03087351160908
2022-03-18,Total,0.05,0,0,15.8337481928096,0.634156157416224
2022-03-18,Total,0.5,3.07147655227499,1.84288593136499,40.76006805381,0.842103479491744
2022-03-18,Total,0.95,8.74995365417439,5.24997219250464,96.6005644243714,1.03402411993626
2022-03-19,Total,0.05,0,0,14.835806352642,0.639496246883331
2022-03-19,Total,0.5,2.77717387165996,1.66630432299597,39.7431368083279,0.846398426344745
2022-03-19,Total,0.95,8.66019474946517,5.1961168496791,97.5294099188682,1.03690462794614
2022-03-20,Total,0.05,0,0,13.8307328756339,0.644921003954934
2022-03-20,Total,0.5,2.54508801830131,1.52705281098078,38.6625780305992,0.851018695447847
2022-03-20,Total,0.95,8.43089649310745,5.05853789586447,98.5077700889851,1.03817087320795
2022-03-21,Total,0.05,0,0,12.8346194482725,0.650394878387014
2022-03-21,Total,0.5,2.88565987397608,1.73139592438565,37.4351737449558,0.856046590783818
2022-03-21,Total,0.95,8.54506384824017,5.1270383089441,98.4832832549149,1.04038293522064
2022-03-22,Total,0.05,0,0,12.1249899027521,0.653899174376896
2022-03-22,Total,0.5,2.6481413729401,1.58888482376406,36.563823950848,0.8608578982392
2022-03-22,Total,0.95,9.56156048613853,5.73693629168312,99.3544144899784,1.04249387249037
2022-03-23,Total,0.05,0,0,11.3752823115964,0.657435312071263
2022-03-23,Total,0.5,2.63315077103306,1.57989046261984,35.8255815548931,0.865727922822416
2022-03-23,Total,0.95,8.63583866789287,5.18150320073572,99.6437479724248,1.04450895252413
2022-03-24,Total,0.05,0,0,10.7036334133253,0.662743348985111
2022-03-24,Total,0.5,2.60283033806307,1.56169820283784,34.9800356228324,0.870514650100088
2022-03-24,Total,0.95,8.62078447256465,5.17247068353879,99.8656495816112,1.04644662477948
2022-03-25,Total,0.05,0,0,10.0667617478756,0.668081885202117
2022-03-25,Total,0.5,2.27947514194624,1.36768508516774,34.1649432414904,0.874871878877664
2022-03-25,Total,0.95,8.61421744050023,5.16853046430014,99.5860163527275,1.04738153050312
2022-03-26,Total,0.05,0,0,9.55788285293075,0.673392975288206
2022-03-26,Total,0.5,2.44939319917076,1.46963591950245,33.5023037247691,0.87923892501927
2022-03-26,Total,0.95,8.57717292099064,5.14630375259438,99.7768526159552,1.04692650338159
2022-03-27,Total,0.05,0,0,9.07042098237331,0.678662555984443
2022-03-27,Total,0.5,2.2016502296636,1.32099013779816,32.8838482913485,0.883768920288517
2022-03-27,Total,0.95,8.26928186798432,4.96156912079059,100.66735730726,1.04911005274882
2022-03-28,Total,0.05,0,0,8.6128694039422,0.683897468594069
2022-03-28,Total,0.5,2.37072630635669,1.42243578381401,32.134352347048,0.888670853148495
2022-03-28,Total,0.95,8.06580341924332,4.83948205154599,101.530497936366,1.05060722429711
2022-03-29,Total,0.05,0,0,8.20058187165873,0.689246384580254
2022-03-29,Total,0.5,2.25663793681383,1.3539827620883,31.2574538186208,0.893521180030301
2022-03-29,Total,0.95,8.25425004490478,4.95255002694287,101.526202788541,1.04987982055786
2022-03-30,Total,0.05,0,0,7.81293727494659,0.69519245809617
2022-03-30,Total,0.5,2.28937273250363,1.37362363950218,30.61406969285,0.898221363338068
2022-03-30,Total,0.95,9.03137765771857,5.41882659463114,100.898139137735,1.04953626143045
2022-03-31,Total,0.05,0,0,7.44839494175847,0.701050545208897
2022-03-31,Total,0.5,2.24162980983465,1.34497788590079,30.1521714882025,0.902901781571446
2022-03-31,Total,0.95,8.43414945453251,5.0604896727195,101.177074263074,1.04938549989132
2022-04-01,Total,0.05,0,0,7.11722683168156,0.706816630157887
2022-04-01,Total,0.5,2.0509225820496,1.23055354922976,29.5819190902227,0.907042716764248
2022-04-01,Total,0.95,7.92855982475768,4.75713589485461,101.544922029745,1.05121808489975
2022-04-02,Total,0.05,0,0,6.84754941123914,0.712488586206583
2022-04-02,Total,0.5,1.88429830454975,1.13057898272985,29.1264716122775,0.911061522073707
2022-04-02,Total,0.95,8.73141415933106,5.23884849559863,102.784255933742,1.05027061904323
2022-04-03,Total,0.05,0,0,6.50767627638836,0.717711982230317
2022-04-03,Total,0.5,1.70545035031423,1.02327021018854,28.7756052779061,0.915134908897667
2022-04-03,Total,0.95,8.84491999513001,5.306951997078,104.009001912901,1.05052633654758
2022-04-04,Total,0.05,0,0,6.21392354882987,0.722171673086353
2022-04-04,Total,0.5,1.96922208328792,1.18153324997275,28.3532417033497,0.918534299742546
2022-04-04,Total,0.95,8.37775299151372,5.02665179490823,105.095244527661,1.04997547234551
2022-04-05,Total,0.05,0,0,5.83865116688013,0.726567386586824
2022-04-05,Total,0.5,1.93285053946405,1.15971032367843,27.6994586691967,0.922451329258624
2022-04-05,Total,0.95,8.67219186160544,5.20331511696327,105.425553961137,1.05016132554191
2022-04-06,Total,0.05,0,0,5.60958924580624,0.730903179202633
2022-04-06,Total,0.5,1.91236376241074,1.14741825744645,27.2780386664538,0.927157101639585
2022-04-06,Total,0.95,8.2568166867543,4.95409001205258,105.706321956541,1.04931740986727
2022-04-07,Total,0.05,0,0,5.34851213776774,0.735184087805616
2022-04-07,Total,0.5,1.99631141230341,1.19778684738205,26.8330347014932,0.931076234237352
2022-04-07,Total,0.95,8.12558639546226,4.87535183727735,105.932478871011,1.05062012989161
2022-04-08,Total,0.05,0,0,5.03676328220955,0.739415996923786
2022-04-08,Total,0.5,1.89896453831053,1.13937872298632,26.3497506653113,0.935145425405352
2022-04-08,Total,0.95,7.97048323634221,4.78228994180533,105.763018579818,1.05032825148434
2022-04-09,Total,0.05,0,0,4.74671718629341,0.743605514832681
2022-04-09,Total,0.5,1.79897396605301,1.0793843796318,26.1015357694888,0.938683713385018
2022-04-09,Total,0.95,8.51866652810825,5.11119991686495,105.585780806289,1.04895448483217
2022-04-10,Total,0.05,0,0,4.50816244181499,0.747759859612051
2022-04-10,Total,0.5,1.75399656896766,1.05239794138059,25.8278878021632,0.941966000271749
2022-04-10,Total,0.95,8.04377526197395,4.82626515718437,105.400713432165,1.04844812840156
2022-04-11,Total,0.05,0,0,4.30685811231038,0.751886755370109
2022-04-11,Total,0.5,1.67285343304335,1.00371205982601,25.6009030455792,0.945162072161878
2022-04-11,Total,0.95,8.59509991440605,5.15705994864363,106.309053924162,1.04971812616825
2022-04-12,Total,0.05,0,0,4.11740696075288,0.755994338048562
2022-04-12,Total,0.5,1.99117016878334,1.19470210127,25.3088390643897,0.948483400845361
2022-04-12,Total,0.95,8.40049286307468,5.04029571784481,107.426445932608,1.0493502657404
2022-04-13,Total,0.05,0,0,3.94198184432579,0.760091069578443
2022-04-13,Total,0.5,2.04317258958241,1.22590355374944,25.0836709576108,0.951392315558441
2022-04-13,Total,0.95,8.51425840150909,5.10855504090545,107.789158869354,1.04941588082564
2022-04-14,Total,0.05,0,0,3.75814880704547,0.764185658658411
2022-04-14,Total,0.5,1.99156531676044,1.19493919005627,24.9189413368186,0.954773861556031
2022-04-14,Total,0.95,8.14150693781767,4.8849041626906,108.038485421711,1.0484278132943
2022-04-15,Total,0.05,0,0,3.57547453115654,0.768286986068584
2022-04-15,Total,0.5,2.08440646802372,1.25064388081423,24.8113845873131,0.957352311537347
2022-04-15,Total,0.95,8.80993050922946,5.28595830553768,107.472218519156,1.04983653735104
2022-04-16,Total,0.05,0,0,3.47494137644803,0.911785794825137
2022-04-16,Total,0.5,1.70470897742854,1.02282538645712,24.6146306215115,1.14829370067402
2022-04-16,Total,0.95,8.81446284729003,5.28867770837402,106.851790815216,1.36959584813551
2022-04-17,Total,0.05,0,0,3.70981417110605,0.91641848829336
2022-04-17,Total,0.5,1.71669524192338,1.03001714515403,27.6858540878147,1.15134651394061
2022-04-17,Total,0.95,8.28336228206167,4.970017369237,117.78403355194,1.37080575540156
2022-04-18,Total,0.05,0,0,3.74998606488246,0.77979427155663
2022-04-18,Total,0.5,1.92284719420884,1.1537083165253,28.743006795623,0.96235256692511
2022-04-18,Total,0.95,8.34112598536179,5.00467559121707,123.533959093051,1.05263074454832
2022-04-19,Total,0.05,0,0,3.40861041707737,0.783175369690023
2022-04-19,Total,0.5,2.04144325788978,1.22486595473387,27.0506832495066,0.964980661331469
2022-04-19,Total,0.95,7.89642477789151,4.7378548667349,114.099880628489,1.05305941890456
2022-04-20,Total,0.05,0,0,3.24086631988283,0.786580000484698
2022-04-20,Total,0.5,1.52214129726585,0.913284778359511,26.716629948174,0.967194577673956
2022-04-20,Total,0.95,8.75465166608617,5.2527909996517,112.793982028436,1.05401302351767
2022-04-21,Total,0.05,0,0,3.10625496094373,0.790932844037536
